neuron_id,spike_time
0,7434.049999999994 ms
0,7441.799999999994 ms
0,7448.649999999996 ms
0,7455.2499999999945 ms
0,7455.649999999996 ms
0,7460.949999999995 ms
0,7461.2499999999945 ms
0,7471.7499999999945 ms
0,7473.349999999997 ms
0,7479.599999999997 ms
0,7494.299999999996 ms
0,7506.299999999996 ms
0,7511.599999999995 ms
0,7528.849999999995 ms
0,7532.899999999996 ms
0,7540.499999999996 ms
0,7541.949999999997 ms
0,7550.649999999996 ms
0,7552.849999999997 ms
0,7554.949999999995 ms
0,7555.899999999996 ms
0,7556.099999999997 ms
0,7557.549999999996 ms
0,7567.099999999995 ms
0,7568.249999999996 ms
0,7569.999999999996 ms
0,7573.349999999995 ms
0,7580.599999999995 ms
0,7581.449999999997 ms
0,7585.649999999996 ms
0,7592.299999999996 ms
0,7593.599999999995 ms
0,7595.599999999995 ms
0,7602.949999999997 ms
0,7604.899999999996 ms
0,7609.599999999997 ms
0,7616.9999999999945 ms
0,7618.099999999997 ms
0,7646.149999999996 ms
0,7648.049999999996 ms
0,7658.599999999995 ms
0,7666.249999999996 ms
0,7671.099999999995 ms
0,7671.649999999996 ms
0,7675.649999999996 ms
0,7686.299999999996 ms
0,7690.149999999996 ms
0,7700.149999999996 ms
0,7705.449999999995 ms
0,7711.149999999996 ms
0,7732.349999999997 ms
0,7733.799999999996 ms
0,7739.399999999996 ms
0,7743.899999999996 ms
0,7749.699999999995 ms
0,7754.599999999997 ms
0,7764.449999999995 ms
0,7772.249999999996 ms
0,7791.749999999996 ms
0,7809.899999999996 ms
0,7818.399999999996 ms
0,7820.849999999997 ms
0,7825.2499999999945 ms
0,7841.349999999997 ms
0,7843.149999999996 ms
0,7854.649999999996 ms
0,7867.199999999995 ms
0,7868.599999999997 ms
0,7878.299999999996 ms
0,7882.349999999995 ms
0,7885.399999999996 ms
0,7891.449999999995 ms
0,7904.849999999997 ms
0,7909.299999999996 ms
0,7938.299999999996 ms
0,7946.749999999996 ms
0,7947.399999999994 ms
0,7963.049999999996 ms
0,7977.549999999996 ms
0,7985.149999999994 ms
0,7998.149999999994 ms
0,7998.649999999994 ms
0,8006.149999999994 ms
0,8006.299999999996 ms
0,8007.549999999996 ms
0,8013.899999999994 ms
0,8016.149999999994 ms
0,8021.049999999996 ms
0,8026.549999999996 ms
0,8031.199999999993 ms
0,8034.199999999993 ms
0,8036.099999999995 ms
0,8038.899999999994 ms
0,8052.4999999999945 ms
0,8053.2499999999945 ms
0,8054.9999999999945 ms
0,8062.299999999994 ms
0,8066.949999999995 ms
0,8067.9999999999945 ms
0,8074.549999999994 ms
0,8077.849999999995 ms
0,8079.299999999996 ms
0,8082.449999999993 ms
0,8083.7499999999945 ms
0,8086.7499999999945 ms
0,8087.449999999995 ms
0,8087.949999999995 ms
0,8089.799999999994 ms
0,8095.149999999996 ms
0,8102.599999999995 ms
0,8107.4999999999945 ms
0,8119.699999999995 ms
0,8122.399999999994 ms
0,8123.649999999994 ms
0,8125.899999999994 ms
0,8133.799999999994 ms
0,8138.349999999993 ms
0,8144.649999999994 ms
0,8151.599999999995 ms
0,8154.749999999993 ms
0,8164.549999999994 ms
0,8166.449999999993 ms
0,8167.599999999993 ms
0,8172.749999999993 ms
0,8175.899999999992 ms
0,8176.299999999992 ms
0,8193.149999999992 ms
0,8193.649999999992 ms
0,8198.29999999999 ms
0,8199.299999999994 ms
